display_name,elt_customer_number,phone,email,payoff_website,lien_release_notes,elt_notes,search_aliases,last_verified_date,internal_notes
BMO Harris Bank,,,RetailTitleServicing@bmo.com ThomasJ.Foote@bmo.com Dave.Donarski@bmo.com,,,,,,Specific Contact(s): Thomas Foote Dave Donarski
BMW FINANCIAL,,800-578-5000 888-505-9397 1 801-461-6500,TARA.MCQUAID@PDPGROUPINC.COM,,,,BMW Financial Services | BMW,,Specific Contact(s): Tara McQuaid
Bridgecrest Acceptance (Carvana LLC),,800-967-8526,CUSTOMERSERVICE@BRIDGECREST.COM,,,,Bridgecrest Acceptance | Carvana LLC,,
Brightstar Financial,,,,,,,,,
Cab East (part of FMCC),,877-349-5260,LDTITLE@FORD.COM,,,,Cab East | part of FMCC,,
Campus USA,,352-335-9090,,,,,Campus USA Credit Union | Campus CU,,Fax: 352-264-8360
Campus USA Credit Union,,1-800-367-6440,,,,,Campus USA | Campus Credit Union,,
Capital One Auto Finance,,1-800-946-0332,latasha.alexander@capitalone.com johnjackson2@capitalone.com REBECCA.CRAGO@CAPITALONE.COM autotitlerelease@capitalone.com,,,,Capital One | Cap One | Capital One Auto,,Fax: 888-722-5117 (Title Dept) | Specific Contact(s): Latasha Alexander Davin Jackson (Sales) REBECCA CRAGO - TITLES
Carmax Auto Finance/Carmax Business Services LLC,,770-792-4750 800-925-3612,,,,,,,"Fax: 770-423-4376 | Physical Address: 225 Chastain Meadows Ct Kennesaw, GA 30144"
Central Willamette Community Credit Union,,541-928-4536,,,,,Central Willamette Community CU,,"Fax: 541-967-4119 | Physical Address: PO BOX D, ALBANY, OR, 97321"
Chase Auto Finance,,800-336-6675 888-298-9491 x 2212061 (Karla Morales),karla.i.morales@chase.com,,,,,,Specific Contact(s): Karla Morales
Chrysler Capital,,855-531-5531 (TITLES) 855-933-0334,tirelease@santanderusa.com jhorton@sandtanderconsumerusa.com DEALERALLEGIANCETEAM@CHRYSLERCAPITAL.COM,,,,,,
CINCH AUTO FINANCE,,866-612-2857,,,,,,,
CitiFinancial,,888-760-2886 866-533-1682 opt3/opt 2 (Title Dept),,,,,,,Fax: 800-616-2238 (Title Dept)
Citizens Bank,,1-866-999-0116,,,,,Citizens | Citizens Auto,,
CITIZENS BANK OF WEST VIRGINIA,,866-999-0116 (TITLES),,,,,,,
Community First Credit Union of Florida,,1-800-342-8416,,,,,Community First CU | Community First Credit Union,,
Consumer Portfolio Services INC,,,titles.doc@consumerportfolio.com,,,,,,
Cresent Bank,,866-208-8288,trlbrister@cbtno.com,,,,,,Fax: 866-799-5212
CU Loan Source,,866-612-2857 x 1904 Denise (Title Dept),,,,,,,
DIGITAL FEDERAL CREDIT UNION,,800-328-8797,,,,,,,
Driveway Financial Co,,855-723-2669,titles@drivewayfinancecorp.com,,,,,,
Exeter Finance Corp,,800-321-9637 855-654-5263,J.T.Gardner@exeterfinance.com (Lien Perfection Dept),,,,,,Fax: 214-572-8199 | Specific Contact(s): JT Gardner
Fidelity Bank,,404-639-6941,nicola.coward@lionbank.com,,,,,,Fax: 404-639-6936 | Specific Contact(s): Nicola Coward
Fifth Third Bank,,800-972-3030 855-498-5525 (Title Support - ECHOCARS),kevin.moore4@53.com,,,,,,Specific Contact(s): Kevin Moore
First Florida Credit Union,,800-766-4328,loanservicing@firstflorida.org,,,,First Florida CU,,Fax: 904-899-4980
First Investors Financial Services,,800-249-6305,,,,,First Investors Financial,,
Flagship Credit Acceptance (Carfinance Capital),,800-327-8543,,,,,Flagship Credit Acceptance | Carfinance Capital,,Fax: 610-717-1923
Florida Central Credit Union,,813-879-3333,titles@floridacentralcu.com,,,,Florida Central CU,,"Physical Address: 3333 Henderson Blvd Tampa, Fl 33609"
Florida Credit Union,,1-800-284-1144,tracy.jones@flcu.org,,,,Florida CU | FCU | Florida CU,,Specific Contact(s): Tracy Jones x2117
FORD MOTOR CREDIT,,800-727-7000 877-349-5260 888-221-1989,jernstne@ford.com ldtitle@ford.com,,,,,,Specific Contact(s): Janet Ernst-Neuman
GET FINANCED LLC,,786-953-7207,,,,,,,
Global Lending,,,titlesdept@glsllc.com customerservice@glsllc.com,,,,,,
GM Financial,,817-525-9686 (Greg),Gregory.jones@GMFinancial.com jason.jackson@gmfinancial.com,,,,Americredit | GMF,,Fax: 877-205-0069 (Greg's Fax) | Specific Contact(s): Gregory Jones Jason Jackson
GO-FI,,,funding@go-fi.com dealers@go-fi.com,,,,,,
Grow Financial Credit Union,,813-837-2451,,,,,Grow Financial CU,,Fax: 813-832-2294
GTE Financial,,813-871-2690 1-888-871-2690 (ext 40429),karen.browning@gtefinancial.org,,,,,,Fax: 813-414-8297 | Specific Contact(s): Karen Browning
GTE Financial Credit Union,,1-813-871-2690,,,,,GTE Financial | GTE FCU,,
GULF COAST AUTO CREDIT CORP,,941-485-0485,,,,,,,
Honda Lease Trust (American Honda Finance),,800-543-5636,cms-hondadocs@dmvdesk.com michael_heimbuch@na.honda.com,,,,Honda Lease Trust | American Honda Finance | Honda Financial | AHFC | Honda Finance,,Fax: 310-781-3384 | Specific Contact(s): Michael Heimbuch
Hudson Valley Credit Union,,800-468-3011,,,,,Hudson Valley CU,,
HUGHES FCU,,520-794-8341,,,,,,,Fax: TITLES - 520-205-5820
Huntington National Bank,,,STEPHANIE.L.MONACO@HUNTINGTON.COM,,,,,,Specific Contact(s): Stephanie Monaco
Hyundai Leasing Company (Hyundai Motor Finance),,800-523-4030 CUST SERV 800-523-6010 - FUNDING (CALL FIRST),,,,,Hyundai Leasing Company | Hyundai Motor Finance | Hyundai Leasing Co (Hyundai Motor Finance),,
Independent Bank,,888-716-9293,,,,,,,
Infiniti LT LLC,,800-777-7018,,,,,,,
JP Morgan Chase,,800-233-5050,,,,,,,Fax: 800-255-9502
JP Morgan Chase Bank,,1-800-336-6675,,,,,Chase | JPMorgan Chase | Chase Auto,,
Kia Finance,,1-866-331-5632,titles@hcs.com dealersupport@hcs.com,,,,Kia Motors Finance | Kia Financial | KMF,,
Lake Michigan Credit Union,,800-242-9790,TITLES@LMCU.ORG,,,,Lake Michigan CU,,
Lamborghini Financial,,800-767-7243,,,,,,,
LENDBUZZ FUNDING,,857-999-0250,TITLE@LENDBUZZ.COM jasmine.bartlett@lendbuzz.com emir.erden@lendbuzz.com nuria.wells@lendbuzz.com aidel.rodriguez@lendbuzz.com,,,,,,Specific Contact(s): Jasmine Bartlett Emir Erden Nuria Wells Aidel Rodriguez
Lobel Financial Corp,,714-995-3333 TITLES PRESS 6,,,,,,,"Physical Address: PO BOX 3000 ANAHEIM, CA 92803"
M&T Bank,,800-724-2440,,,,,MandT Bank,,
MAZDA AMERICAN CREDIT,,800-945-6000 813-767-7774 866-693-2332,,,,,,,
Mercedes Benz Financial Services,,800-654-6222,mbfscustomerservice@mercedes-benz.com,,,,Mercedes Benz Financial,,
MIDFLORIDA FINANCING LLC,,863-688-2500,,,,,,,
Nasa Federal Credit Union,,,e-loanservicing@nasafcu.com,,,,Nasa FCU | Nasa Federal CU,,
Navy Federal Credit Union,,1-888-842-6328,titles@navyfederal.org,,,,Navy Federal | NFCU,,
Nissan Motor Acceptance Corp,,800-456-6622,,,,,,,
Northwest Federal Credit Union,,703-709-8900,,,,,Northwest FCU | Northwest Federal CU,,
ONEMAIN FINANCIAL,,833-390-2034,LEGACYSUPPORT@OMF.COM,,,,,,
OPEN LANE,,866-969-0321,CustomerServiceUSA@openlane.com,,,,,,
Partners Federal Credit Union,,800-948-6677,,,,,Partners FCU | Partners Federal CU,,Fax: 407-938-4280
Pinellas Federal Credit Union,,727-586-4422,,,,,Pinellas FCU | Pinellas Federal CU,,
PREMIER AUTO FINANCE OF SOUTH FLORIDA,,954-797-9660,,,,,,,
Prestige Financial,,888-822-7422,,,,,,,
Publix Employees Federal Credit Union,,1-800-226-6673,,,,,Publix Employees FCU | PEFCU | Publix Employees FCU | Publix Employees Federal CU,,
Radiant Credit Union,,877-786-7828,bestes@radiantcu.org,,,,Radiant CU,,"Physical Address: 4440 NW 25th Place Gainesville, Fl 32606"
Redstone Federal Credit Union,,800-234-1234,,,,,Redstone FCU | Redstone Federal CU,,"Fax: 256-327-1340 | Physical Address: 220 Wynn Drive Huntsville, AL 35893"
Regional Credit Acceptance,,904-380-3030 866-644-7687 727-431-6288 (CLRWTR),astevens@regacc.com ractitles@regacc.com,,,,,,Fax: 888-761-8685
RIVERFALL CREDIT UNION,,205-759-1505,BLANGLEY@RIVERFALLCU.COM,,,,,,"Physical Address: PO BOX 1756 TUSCALOOSA, AL 35403 | Specific Contact(s): BRIGITTA LANGLEY (X1016)"
Santander,,800-526-0157 (Titles) 888-222-4227 (Cust Serv),tirelease@santanderconsumerusa.com lmelucci@santanderconsumerusa.com,,,,,,Fax: 214-237-3549
Santander Consumer USA,,1-800-526-0157,,,,,Santander | Santander Auto,,
Service 1st Credit Union,,813-621-9631,Dmorgan@service1stcu.org,,,,Service 1st CU,,Fax: 813-664-0525 | Specific Contact(s): Diane Morgan
Southeast Toyota Finance,,1-888-688-1166,,,,,SETF | Southeast Toyota | World Omni,,
SouthEast Toyota Financial (Al Holding Corp),,877-272-7752,,,,,SouthEast Toyota Financial | Al Holding Corp,,
SouthEast Toyota Financial (World Omni Financial Corp),,888-688-1166 800-686-3494 800-267-0855 (Title Dept),brenda.smith@setf.com crystal.wallace@setf.com,,,,SouthEast Toyota Financial | World Omni Financial Corp,,Fax: 314-702-4255 | Specific Contact(s): Brenda Smith
SOUTHERN AUTO FINANCE,,(DEALER SERVICES) 800-277-9198,,,,,,,
Southern Auto Finance Company,,1-866-278-5313,,,,,SAFCO | Southern Auto Finance,,
SST,,800-392-8308 (Opt 7),,,,,,,
State Employees Credit Union,,800-879-7328,,,,,State Employees CU,,
Stellantis Financial Services,,,Heide.Portillo@stellantis-fs.com Thomas.Glisson@stellantis-fs.com,,,,Stellantis Financial,,Specific Contact(s): Heide Portillo Thomas Glisson
Summit Financial,,888-857-8017,,,,,,,
Suncoast Credit Union,,1-813-621-7511,leondra.brooks@suncoastcreditunion.com ashley.mcgruder@suncoastcreditunion.com TIM.FEIGENSPAN@suncoastcreditunion.com maria.barredo@suncoastcreditunion.com DEALER.RELATIONS@suncoastcreditunion.com shawntae.williams@suncoastcreditunion.com titleemailgroup@suncoastcreditunion.com,,,,Suncoast | Suncoast CU | Suncoast CU | Suncoast,,Fax: 813-626-9096 | Specific Contact(s): Leondra Brooks Ashley McGruder Maria Barredo Shawntae Williams
Suntrust,,800-786-8787,,,,,,,"Fax: 615-874-6484 | Physical Address: 41 Rachel Drive Nashville, TN 37214"
TD Auto Finance,,800-556-8172,customer.support@td.com,,,,,,
TD Bank,,,Sandra.Bilchik@td.com TitleDeficiencyGroup@td.com,,,,,,Specific Contact(s): Sandra Bilchik
Teachers Federal Credit Union,,(813) 327-4081,loanrecords@teachersfcu.org sophial@teachersfcu.org,,,,Teachers FCU | Teachers Federal CU,,
"Tesla Finance, LLC",,(844) 837-5285,,,,,,,
Toyota Financial Services,,1-800-874-8822,,,,,Toyota Financial | Toyota Motor Credit | TFS,,
Toyota Financial Services (Toyota Motor Credit/Toyota Lease Trust),,800-874-8822 800-253-9332,,,,,Toyota Financial Services | Toyota Motor Credit/Toyota Lease Trust | Toyota Financial (Toyota Motor Credit/Toyota Lease Trust) | Toyota Financial | Toyota Motor Credit | TFS,,Fax: 310-402-2619 (Title Resolution Dept) 319-221-6828
Trax Federal Credit Union,,,hschwatka@traxcu.com,,,,Trax FCU | Trax Federal CU,,
Tricolor Group,,800-927-2379,TitleandRegistration@tricolor.com,,,,,,
Truist Bank,,844-487-8478,emily.riley@truist.com GLSTitleResearch@truist.com debbie.elliott@truist.com april.lauritano@truist.com Kelly.Gore@truist.com Benedict.Sey@truist.com,,,,,,Specific Contact(s): Emily Riley Debbie Elliot April Lauritano Kelly Gore Benedict Sey
TWIN STAR CREDIT UNION,,,titlesupport@twinstarcu.com,,,,,,
UNITED AUTO CREDIT,,888-376-7149 (TITLES) 888-504-2133 (DEALER),,,,,,,
UNITUS Community Credit Union,,800-452-0900,,,,,UNITUS Community CU,,Fax: 503-423-8345
UPGRADE INC,,844-319-3909,support@upgrade.com,,,,,,
US Bank,,1-800-374-4235 (CORP) 1-800-872-2657 (PAY-OFF) 866-730-7807 (TITLE),CONTACTUS@FDIELT.COM,,,,U.S. Bank | USBANK,,
USAA Federal Savings Bank,,1-800-531-8722,,,,,USAA | USAA FSB,,
USF FCU,,813-569-2000,,,,,,,
Veritas Auto Finance,,657-231-7533,mike.chun@veritasautofinance.com,,,,,,Specific Contact(s): Mike Chun
VyStar Credit Union,,1-800-445-6289,,,,,Vystar | VyStar CU,,
WE FLORIDA FINANCIAL CREDIT UNION,,954-745-2400,,,,,,,
Wells Fargo Auto,,1-888-329-4856,chiquita.l.rice@wellsfargo.com David.W.Lowrey@wellsfargo.com Jykal.Douglas@wellsfargo.com Melissa.A.Marshburn@wellsfargo.com CSSTITLES@WELLSFARGO.COM Titlefollowup@wellsfargo.com WFAutoDealerDesk@wellsfargo.com,,,,Wells Fargo | Wells Fargo Dealer Services,,Fax: 800-926-1072 252-931-1265 | Specific Contact(s): Chiquita Rice David Lowrey Jykal Douglas Melissa Marshburn
Westlake Financial Services,,888-893-7937,WESTLAKE_TITLES@WESTLAKEFINANCIAL.COM,,,,Westlake Financial,,Fax: 323-954-5576
Wilshire Consumer Credit,,,support@wilshireconsumer.zendesk.com,,,,,,
