display_name,search_name,mailing_address,city,state,zip,feid_number,feid_suffix,elt_customer_number,phone,email,payoff_website,lien_release_notes,elt_notes,search_aliases,last_verified_date,internal_notes,source
1ST FINANCIAL BANK USA,1ST FINANCIAL BANK USA,464 HERITAGE RD STE A1,SOUTHBURY,CT,6488,460133740,2,603389839,,,,,,,,,Florida ELT / Lienholder Source List
1ST FRANKLIN FINANCIAL CORPORATION,1ST FRANKLIN FINANCIAL,PO BOX 880,TOCCOA,GA,30577,580521233,9,234086081,,,,,,,,,Florida ELT / Lienholder Source List
1ST GATEWAY CREDIT UNION,1ST GATEWAY CREDIT UNION,PO BOX 110,CAMANCHE,IA,52730,420802440,1,207026819,,,,,,,,,Florida ELT / Lienholder Source List
1ST KLASS AUTO SALES LLC,1ST KLASS AUTO SALES,2439 PEMBROKE RD,HOLLYWOOD,FL,33020,843358281,2,614613133,,,,,,,,,Florida ELT / Lienholder Source List
1ST LIBERTY FEDERAL CREDIT UNION,1ST LIBERTY FEDERAL CREDIT UNION,PO BOX 5002,GREAT FALLS,MT,59403,810257864,3,229710453,,,,,,,,,Florida ELT / Lienholder Source List
1ST MIDAMERICA CREDIT UNION,1ST MIDAMERICA CREDIT UNION,PO BOX 210,BETHALTO,IL,62010,370580723,3,234522307,,,,,,,,,Florida ELT / Lienholder Source List
1ST NORTHERN CA CU,1ST NORTHERN CA CU,1111 PINE ST,MARTINEZ,CA,94553,941175509,2,608596735,,,,,,,,,Florida ELT / Lienholder Source List
1ST PLACE AUTO SALES INC,1ST PLACE AUTO SALES,PO BOX 842,MULBERRY,FL,33860,800566301,2,233394861,,,,,,,,,Florida ELT / Lienholder Source List
1ST PLACE LLC,1ST PLACE,3419C APALACHEE PKWY,TALLAHASSEE,FL,32311,810962254,2,253600485,,,,,,,,,Florida ELT / Lienholder Source List
1ST PRIORITY AUTO SALES,1ST PRIORITY AUTO SALES,8264 NW 17TH CIR,OCALA,FL,34475,841872174,2,261912749,,,,,,,,,Florida ELT / Lienholder Source List
1ST RATE AUTO LLC,1ST RATE AUTO,5301 U S HWY 41 N,APOLLO BEACH,FL,33572,831306904,2,257229115,,,,,,,,,Florida ELT / Lienholder Source List
1ST RESOURCE CREDIT UNION,1ST RESOURCE CREDIT UNION,47 W OXMOOR RD,BIRMINGHAM,AL,35209,606045677,1,242311519,,,,,,,,,Florida ELT / Lienholder Source List
1ST SECURITY OF ST PETE INC,1ST SECURITY OF ST PETE,8111 63RD ST,PINELLAS PARK,FL,33781,593360971,12,233549733,,,,,,,,,Florida ELT / Lienholder Source List
1ST SOURCE BANK,1ST SOURCE BANK,PO BOX 783,SOUTH BEND,IN,46624,350309575,4,204051441,,,,,,,,,Florida ELT / Lienholder Source List
1ST SOURCE BANK,1ST SOURCE BANK,PO BOX 4055,SOUTH BEND,IN,46634,350309575,23,620408203,,,,,,,,,Florida ELT / Lienholder Source List
1ST STREET CREDIT UNION,1ST STREET CREDIT UNION,1558 1ST ST,SARASOTA,FL,34236,590965738,10,230412777,,,,,,,,,Florida ELT / Lienholder Source List
1ST SUMMIT BANK,1ST SUMMIT BANK,PO BOX 5480,JOHNSTOWN,PA,15904,250773370,1,218079449,,,,,,,,,Florida ELT / Lienholder Source List
1ST UNITED BANK,1ST UNITED BANK,1700 PALM BEACH LAKES BLVD STE 650,WEST PLAM BEACH,FL,33401,592718611,2,235239693,,,,,,,,,Florida ELT / Lienholder Source List
1ST UNITED CREDIT UNION,1ST UNITED CREDIT UNION,5901 GIBRALTAR DR,PLEASANTON,CA,94588,940335800,4,233771031,,,,,,,,,Florida ELT / Lienholder Source List
2 BROS SELLING CARS,2 BROS SELLING CARS,349 E STATE RD 434,LONGWOOD,FL,32750,822314487,2,262586347,,,,,,,,,Florida ELT / Lienholder Source List
2 DAY DEALS LLC AUTO BODY & SERVICES,2 DAY DEALS AUTO BODY SERVICES,700 CLEARLAKE RD,COCOA,FL,32922,743235833,2,234371573,,,,,,,,,Florida ELT / Lienholder Source List
2 EXTREME AUTO SALES INC,2 EXTREME AUTO SALES,2968 MICHIGAN AVE STE B,KISSIMMEE,FL,34744,454290326,2,233727449,,,,,,,,,Florida ELT / Lienholder Source List
2 FELLAS AUTO EXCHANGE,2 FELLAS AUTO EXCHANGE,927 N ANDREWS AVE,FORT LAUDERDALE,FL,33304,275009328,2,233891433,,,,,,,,,Florida ELT / Lienholder Source List
2 GO MOTORS LLC,2 GO MOTORS,2600 S ORANGE BLOSSOM TRL,ORLANDO,FL,32805,880585163,2,625715547,,,,,,,,,Florida ELT / Lienholder Source List
"2 KINGS' AUTO LOUNGE, LLC",2 KINGS AUTO LOUNGE,4161 TROUT RIVER BLVD,JACKSONVILLE,FL,32208,842636861,2,261542309,,,,,,,,,Florida ELT / Lienholder Source List
2 KINGZ AUTO LLC,2 KINGZ AUTO,5703 SAINT AUGUSTINE RD,JACKSONVILLE,FL,32207,952252414,1,619036193,,,,,,,,,Florida ELT / Lienholder Source List
2 RIVERS AREA CREDIT UNION,2 RIVERS AREA CREDIT UNION,296 W JEFFERY ST,KANKAKEE,IL,60901,362282246,1,602937997,,,,,,,,,Florida ELT / Lienholder Source List
2. 0 MOTORSPORTS LLC,2 0 MOTORSPORTS,7129 COMMERCIAL WAY,WEEKI WACHEE,FL,34613,871844083,1,610735637,,,,,,,,,Florida ELT / Lienholder Source List
20 20 AUTO CENTER INC,20 20 AUTO CENTER,101 NE 6TH AVE,WILLISTON,FL,32696,593738739,3,233271599,,,,,,,,,Florida ELT / Lienholder Source List
2001 AUTO SALE CORP,2001 AUTO SALE,7417 NW 54 ST,MIAMI,FL,33166,651058966,2,233583035,,,,,,,,,Florida ELT / Lienholder Source List
2020 AUTO LLC,2020 AUTO,2622 FLOURNOY CIR S APT 2212,CLEARWATER,FL,33764,844856276,2,263865509,,,,,,,,,Florida ELT / Lienholder Source List
20TH TRAIL TRUCK SALES LLC,20TH TRAIL TRUCK SALES,3197 NW 20TH TRL,OKEECHOBEE,FL,34972,850773736,2,265195385,,,,,,,,,Florida ELT / Lienholder Source List
21 USED CARS LLC,21 USED CARS,5840 PLUNKETT ST,HOLLYWOOD,FL,33023,863810818,2,613216149,,,,,,,,,Florida ELT / Lienholder Source List
2149 DEALS LLC,2149 DEALS,2501 NW 17TH LN STE A,POMPANO BEACH,FL,33064,923692383,2,620679457,,,,,,,,,Florida ELT / Lienholder Source List
21ST MORTGAGE CORP,21ST MORTGAGE,PO BOX 477,KNOXVILLE,TN,37901,760478830,12,233591665,,,,,,,,,Florida ELT / Lienholder Source List
228 AUTO SALES CORP.,228 AUTO SALES,22825 S DIXIE HWY # C,MIAMI,FL,33170,811587558,2,246401749,,,,,,,,,Florida ELT / Lienholder Source List
22ND STATE BANK,22ND STATE BANK,101 N EUFAULA AVE,EUFAULA,AL,36027,630071230,2,237114701,,,,,,,,,Florida ELT / Lienholder Source List
22ND STATE BANK,22ND STATE BANK,51 ST JOSEPH ST,MOBILE,AL,36602,630071230,3,631248981,,,,,,,,,Florida ELT / Lienholder Source List
239 AUTO SALES LLC,239 AUTO SALES,2300 KIRKWOOD AVE UNIT B,NAPLES,FL,34112,384261413,2,618977347,,,,,,,,,Florida ELT / Lienholder Source List
24 HOUR AUTOMOTIVE,24 HOUR AUTOMOTIVE,4509 US HWY 19,NEW PORT RICHEY,FL,34652,270598675,2,233692197,,,,,,,,,Florida ELT / Lienholder Source List
24-7 TAX TAG TITLE LLC,24 7 TAX TAG TITLE,2822 HWY 71A,MARIANNA,FL,32448,832794121,1,601341435,,,,,,,,,Florida ELT / Lienholder Source List
25TH STREET AUTO SALES INC,25TH STREET AUTO SALES,2502 JERSEY AVE,FORT PIERCE,FL,34947,270139523,4,233491115,,,,,,,,,Florida ELT / Lienholder Source List
26 MOTORS MIAMI LLC,26 MOTORS MIAMI,19275 NW 2ND AVE,MIAMI,FL,33169,874812317,2,626412395,,,,,,,,,Florida ELT / Lienholder Source List
27 AUTO SALES INC OF LEON,27 AUTO SALES OF LEON,3115 APALACHEE PKWY,TALLAHASSEE,FL,32311,593446240,2,233253729,,,,,,,,,Florida ELT / Lienholder Source List
27 MOTORS,27 MOTORS,9901 NW 27TH AVE,MIAMI,FL,33147,453125481,2,240030857,,,,,,,,,Florida ELT / Lienholder Source List
27 OF MIAMI CORP DBA AUTOWORLD OF MIAMI,27 OF MIAMI DBA AUTOWORLD OF MIAMI,8800 NW 27 AVE,MIAMI,FL,33147,651007698,1,224988209,,,,,,,,,Florida ELT / Lienholder Source List
27TH TRUCKS INC,27TH TRUCKS,1175 E 25TH ST,HIALEAH,FL,33013,650737078,3,256173465,,,,,,,,,Florida ELT / Lienholder Source List
2DAY DEALS AUTO SALES LLC,2DAY DEALS AUTO SALES,1505 KING ST,COCOA,FL,32926,812361318,2,248383477,,,,,,,,,Florida ELT / Lienholder Source List
"2EZ AUTO BROKERS, LLC",2EZ AUTO BROKERS,2050 GA HIGHWAY 40 E STE 102,KINGSLAND,GA,31548,871594597,2,624094325,,,,,,,,,Florida ELT / Lienholder Source List
2KOOL AUTOS LLC DBA 2 KOOL AUTOS,2KOOL AUTOS DBA 2 KOOL AUTOS,4149 CAUSEWAY BLVD,TAMPA,FL,33619,460927974,2,233823397,,,,,,,,,Florida ELT / Lienholder Source List
2ND CHANCE AUTO BROKERS INC,2ND CHANCE AUTO BROKERS,14678 FERN LAKE CT,NAPLES,FL,34114,813218470,3,254278703,,,,,,,,,Florida ELT / Lienholder Source List
"2ND CHOICE AUTO SALES, LLC",2ND CHOICE AUTO SALES,369 HARBOR ISLES CT,KISSIMMEE,FL,34746,812900310,2,249171641,,,,,,,,,Florida ELT / Lienholder Source List
2W'S EQUIPMENT INC,2W S EQUIPMENT,14411 COMMERCE WAY STE 427,MIAMI LAKES,FL,33016,471956809,3,260097425,,,,,,,,,Florida ELT / Lienholder Source List
2YS AUTO SALES LLC,2YS AUTO SALES,301 W 7TH ST STE 730,ORLANDO,FL,32824,933774174,2,627505477,,,,,,,,,Florida ELT / Lienholder Source List
3 B'S - B. UENO B. ONITO B. ARATO AUTO SALES LLC,3 B S B UENO B ONITO B ARATO AUTO SALES,PO BOX 343789,FLORIDA CITY,FL,33034,461094015,2,234194689,,,,,,,,,Florida ELT / Lienholder Source List
"3 BROTHERS AUTO, INC",3 BROTHERS AUTO,2004 SW 86TH AVE,NORTH LAUDERDALE,FL,33068,465283679,2,239922901,,,,,,,,,Florida ELT / Lienholder Source List
3 JAY ENTERPRISES INC DBA TAMPA AUTO CENTER,3 JAY ENTERPRISES DBA TAMPA AUTO CENTER,10321 FROG POND DR,RIVERVIEW,FL,33569,464058171,2,249723223,,,,,,,,,Florida ELT / Lienholder Source List
3 KINGS AUTO SELL & COLLISION INC.,3 KINGS AUTO SELL COLLISION,1035 NW 105 ST,MIAMI,FL,33150,274593683,2,233727493,,,,,,,,,Florida ELT / Lienholder Source List
3 STARS AUTO SALES & SERVICES INC,3 STARS AUTO SALES SERVICES,4301 N NEBRASKA AVE,TAMPA,FL,33603,261336469,2,233550663,,,,,,,,,Florida ELT / Lienholder Source List
3 STARZ AUTO SALES INC,3 STARZ AUTO SALES,3860 NE 40TH PL STE D,OCALA,FL,34479,825481241,2,259297991,,,,,,,,,Florida ELT / Lienholder Source List
3-D MOTORS INC,3 D MOTORS,1333 FALKENBURG RD,TAMPA,FL,33619,593461105,1,201931888,,,,,,,,,Florida ELT / Lienholder Source List
301 AUTO SALES LLC,301 AUTO SALES,1020 N WASHINGTON BLVD,SARASOTA,FL,34236,365068290,1,624688625,,,,,,,,,Florida ELT / Lienholder Source List
301 LEGACY AUTO LLC,301 LEGACY AUTO,13168 US HWY 301 S,STARKE,FL,32091,451556802,1,234734361,,,,,,,,,Florida ELT / Lienholder Source List
301 MOTORSPORTS,301 MOTORSPORTS,13790 NE US HIGHWAY 301,WALDO,FL,32694,883099536,2,614411333,,,,,,,,,Florida ELT / Lienholder Source List
"3041 MCNAB, LLC",3041 MCNAB,3041 W MCNAB RD,POMPANO BEACH,FL,33069,454909130,1,237035063,,,,,,,,,Florida ELT / Lienholder Source List
"305 AUTO BROKERS, INC.",305 AUTO BROKERS,9190 NW 119TH ST STE 9,HIALEAH GARDENS,FL,33018,832510494,2,265001577,,,,,,,,,Florida ELT / Lienholder Source List
305 AUTO WHOLESALE CORP.,305 AUTO WHOLESALE,10718 SW 188TH ST,CUTLER BAY,FL,33157,461722959,2,237819979,,,,,,,,,Florida ELT / Lienholder Source List
305 AUTOMOTION USA LLC DBA FLORIDA CARS,305 AUTOMOTION USA DBA FLORIDA CARS,8300 NW 74TH AVE,MEDLEY,FL,33166,874259626,2,614259961,,,,,,,,,Florida ELT / Lienholder Source List
"305 CARZ, LLC",305 CARZ,2032 NW 95TH ST,MIAMI,FL,33147,331724949,2,633728893,,,,,,,,,Florida ELT / Lienholder Source List
"305 MOTORING, LLC",305 MOTORING,1947 NE 147 TER,NORTH MIAMI,FL,33181,452927888,2,234424199,,,,,,,,,Florida ELT / Lienholder Source List
"305 REY CASH, LLC",305 REY CASH,128 NE 2 AVE,MIAMI,FL,33132,113843043,1,227204785,,,,,,,,,Florida ELT / Lienholder Source List
"3100 AUTO SALES, LLC.",3100 AUTO SALES,3700 31ST ST N,ST PETERSBURG,FL,33713,450574459,2,243066607,,,,,,,,,Florida ELT / Lienholder Source List
32 AVE. AUTO SALES,32 AVE AUTO SALES,12757 SW 44 ST,MIRAMAR,FL,33027,205437234,3,234398627,,,,,,,,,Florida ELT / Lienholder Source List
321 CARS LLC,321 CARS,65 SW IRWIN AVE,WEST MELBOURNE,FL,32904,923529886,2,619489539,,,,,,,,,Florida ELT / Lienholder Source List
33 AUTO SALES,33 AUTO SALES,13851 NW 27TH AVE,OPA LOCKA,FL,33054,993018770,2,626825019,,,,,,,,,Florida ELT / Lienholder Source List
333 AUTO SALES LLC,333 AUTO SALES,9373 FONTAINEBLEAU BLVD APT K235,MIAMI,FL,33172,811730446,2,251755157,,,,,,,,,Florida ELT / Lienholder Source List
3445 CAR STORE,3445 CAR STORE,3445 34TH ST N,ST PETERSBURG,FL,33713,591845056,0,234536321,,,,,,,,,Florida ELT / Lienholder Source List
352 AUTO LLC DBA HD TRUCK CENTER,352 AUTO DBA HD TRUCK CENTER,17141 SE COUNTY ROAD 234,MICANOPY,FL,32667,873943754,2,609631743,,,,,,,,,Florida ELT / Lienholder Source List
360 BROKER LLC,360 BROKER,18520 NW 67TH AVE,HIALEAH,FL,33015,822963998,2,630286079,,,,,,,,,Florida ELT / Lienholder Source List
"360 EQUIPMENT FINANCE, LLC",360 EQUIPMENT FINANCE,300 BEARDSLEY LANE BUILDING D STE 201,AUSTIN,TX,78746,272504982,1,235041835,,,,,,,,,Florida ELT / Lienholder Source List
360 FEDERAL CREDIT UNION,360 FEDERAL CREDIT UNION,P O BOX 273,WINDSOR LOCKS,CT,6096,590756431,1,204072516,,,,,,,,,Florida ELT / Lienholder Source List
360TEAMTECH LLC,360TEAMTECH,7305 SW 133RD CT,MIAMI,FL,33183,822824299,2,254058197,,,,,,,,,Florida ELT / Lienholder Source List
"36TH STREET CAPITAL PARTNERS, LLC",36TH STREET CAPITAL PARTNERS,161 HEADQUARTERS PLZ FL 5,MORRISTOWN,NJ,7960,475444192,1,251755291,,,,,,,,,Florida ELT / Lienholder Source List
3D AUTO SUPERCENTER,3D AUTO SUPERCENTER,647 N COMBEE RD,LAKELAND,FL,33801,471049381,2,239077601,,,,,,,,,Florida ELT / Lienholder Source List
3L AUTO LLC D. B. A. 3L AUTO SALES,3L AUTO D B A 3L AUTO SALES,7227 ATLANTIC BLVD STE 1,JACKSONVILLE,FL,32211,824053748,2,254979503,,,,,,,,,Florida ELT / Lienholder Source List
3LM MOTORSPORTS INC,3LM MOTORSPORTS,3010 E MAIN ST,LAKELAND,FL,33801,900669692,2,253003129,,,,,,,,,Florida ELT / Lienholder Source List
3T FINANCIAL & AUTO SALES DBA MIRACLE MOTORS,3T FINANCIAL AUTO SALES DBA MIRACLE MOTORS,21 WILLIS RD,FORT MYERS,FL,33917,820830136,2,251128155,,,,,,,,,Florida ELT / Lienholder Source List
4 BY 4 AUTO LEASING INC,4 BY 4 AUTO LEASING,615 CARNATION DR,WINTER PARK,FL,32792,202871000,2,237034915,,,,,,,,,Florida ELT / Lienholder Source List
4 DRIVE AUTO SALES LLC,4 DRIVE AUTO SALES,14191 LAKEVIEW PARK RD,WINTER GARDEN,FL,34787,922993635,2,626017001,,,,,,,,,Florida ELT / Lienholder Source List
4 GLOBAL CORP,4 GLOBAL,12963 W OKEECHOBEE RD STE 4,HIALEAH GARDENS,FL,33018,464737417,1,253394479,,,,,,,,,Florida ELT / Lienholder Source List
4 GUYS AUTO CENTER LLC,4 GUYS AUTO CENTER,13950 N FLORIDA AVE,TAMPA,FL,33613,814677034,2,252182795,,,,,,,,,Florida ELT / Lienholder Source List
"4 MONTES, CORP",4 MONTES,1395 BRICKELL AVE STE 800,MIAMI,FL,33131,471580255,1,241603685,,,,,,,,,Florida ELT / Lienholder Source List
4 NINE AUTO SALES LLC,4 NINE AUTO SALES,6316 SAN JUAN AVE STE 26,JACKSONVILLE,FL,32210,845121695,2,264539523,,,,,,,,,Florida ELT / Lienholder Source List
4 POINTS SERVICES CORP,4 POINTS SERVICES,110 W SENECA AVE STE 111,TAMPA,FL,33612,991089878,2,630175209,,,,,,,,,Florida ELT / Lienholder Source List
